RecipeName,Ingredients,Steps,Cuisine,ingredient_text,search_field,cleaned_search_field
Mango Lassi,"['1 cup ripe mango pulp (fresh or canned)', '1 1/2 cups plain yogurt (dahi), chilled', '1/2 cup cold milk or water', '2-3 tbsp sugar (or to taste, depending on mango sweetness)', 'A pinch of cardamom powder']","['In a blender, combine the mango pulp, chilled yogurt, milk/water, sugar, and cardamom powder.', 'Blend until smooth and creamy.', 'Taste and adjust sugar if needed.', 'If the lassi is too thick, add a splash of milk or water and blend again.', 'Pour into tall glasses and serve chilled.', 'Garnish with a small slice of mango or mint leaf.']",Indian Drink,"1 cup ripe mango pulp (fresh or canned) 1 1/2 cups plain yogurt (dahi), chilled 1/2 cup cold milk or water 2-3 tbsp sugar (or to taste, depending on mango sweetness) A pinch of cardamom powder","Mango Lassi Mango Lassi Mango Lassi 1 cup ripe mango pulp (fresh or canned) 1 1/2 cups plain yogurt (dahi), chilled 1/2 cup cold milk or water 2-3 tbsp sugar (or to taste, depending on mango sweetness) A pinch of cardamom powder",mango lassi mango lassi mango lassi cup ripe mango pulp fresh canned cups plain yogurt dahi chilled cup cold milk water tbsp sugar taste depending mango sweetness pinch cardamom powder
Cucumber Raita,"['1 cup plain yogurt (dahi), whisked', '1/2 cup cucumber, grated', '1/4 tsp roasted cumin powder', '1/4 tsp black salt (kala namak) (optional)', 'Salt to taste', '1 tbsp chopped fresh cilantro']","['Squeeze the excess water from the grated cucumber.', 'In a bowl, combine the whisked yogurt, grated cucumber, roasted cumin powder, black salt, and regular salt.', 'Mix well.', 'Garnish with chopped cilantro.', 'Chill in the refrigerator for 30 minutes before serving.', 'Serve as a side dish with biryani, pulao, or parathas.']",Indian Side Dish,"1 cup plain yogurt (dahi), whisked 1/2 cup cucumber, grated 1/4 tsp roasted cumin powder 1/4 tsp black salt (kala namak) (optional) Salt to taste 1 tbsp chopped fresh cilantro","Cucumber Raita Cucumber Raita Cucumber Raita 1 cup plain yogurt (dahi), whisked 1/2 cup cucumber, grated 1/4 tsp roasted cumin powder 1/4 tsp black salt (kala namak) (optional) Salt to taste 1 tbsp chopped fresh cilantro",cucumber raita cucumber raita cucumber raita cup plain yogurt dahi whisked cup cucumber grated tsp roasted cumin powder tsp black salt kala namak optional salt taste tbsp chopped fresh cilantro
Baingan Bharta,"['1 large eggplant (baingan)', '1 large onion, finely chopped', '2 tomatoes, finely chopped', '1 tbsp ginger-garlic paste', '1-2 green chilies, chopped', '1/2 tsp cumin seeds', '1/2 tsp turmeric powder', '1 tsp coriander powder', '1/2 tsp garam masala', '2 tbsp vegetable oil', 'Salt to taste', 'Cilantro for garnish']","['Roast the eggplant directly over a flame (or in the oven) until the skin is charred and the flesh is soft.', 'Let it cool. Peel off the charred skin and mash the pulp.', 'Heat oil in a pan. Add cumin seeds.', 'Add chopped onion and sauté until golden brown.', 'Add ginger-garlic paste and green chilies. Sauté for a minute.', 'Add chopped tomatoes, turmeric, coriander powder, and salt. Cook until tomatoes are mushy and oil separates.', 'Add the mashed eggplant pulp. Mix well and cook for 5-7 minutes, stirring often.', 'Sprinkle with garam masala and garnish with cilantro.', 'Serve hot with roti.']",North Indian,"1 large eggplant (baingan) 1 large onion, finely chopped 2 tomatoes, finely chopped 1 tbsp ginger-garlic paste 1-2 green chilies, chopped 1/2 tsp cumin seeds 1/2 tsp turmeric powder 1 tsp coriander powder 1/2 tsp garam masala 2 tbsp vegetable oil Salt to taste Cilantro for garnish","Baingan Bharta Baingan Bharta Baingan Bharta 1 large eggplant (baingan) 1 large onion, finely chopped 2 tomatoes, finely chopped 1 tbsp ginger-garlic paste 1-2 green chilies, chopped 1/2 tsp cumin seeds 1/2 tsp turmeric powder 1 tsp coriander powder 1/2 tsp garam masala 2 tbsp vegetable oil Salt to taste Cilantro for garnish",baingan bharta baingan bharta baingan bharta large eggplant baingan large onion finely chopped tomatoes finely chopped tbsp gingergarlic paste green chilies chopped tsp cumin seeds tsp turmeric powder tsp coriander powder tsp garam masala tbsp vegetable oil salt taste cilantro garnish
Bhindi Masala,"['250g okra (bhindi), washed, dried, and cut', '1 large onion, sliced', '1 tomato, chopped', '1 tsp ginger-garlic paste', '1/2 tsp cumin seeds', '1/2 tsp turmeric powder', '1 tsp coriander powder', '1/2 tsp red chili powder', '1/2 tsp amchur (dry mango powder)', '2 tbsp vegetable oil', 'Salt to taste']","[""Heat 1 tbsp of oil in a pan. Add the cut okra and sauté on medium-high heat until it's 80% cooked and no longer slimy. Remove from the pan and set aside."", 'In the same pan, heat the remaining 1 tbsp of oil. Add cumin seeds.', 'Add sliced onion and sauté until translucent.', 'Add ginger-garlic paste and cook for a minute.', 'Add chopped tomato, turmeric, coriander powder, chili powder, and salt.', 'Cook until the tomatoes are soft.', 'Add the sautéed okra back to the pan.', 'Stir in the amchur powder. Mix well and cook for another 3-5 minutes.', 'Serve hot with roti or paratha.']",North Indian,"250g okra (bhindi), washed, dried, and cut 1 large onion, sliced 1 tomato, chopped 1 tsp ginger-garlic paste 1/2 tsp cumin seeds 1/2 tsp turmeric powder 1 tsp coriander powder 1/2 tsp red chili powder 1/2 tsp amchur (dry mango powder) 2 tbsp vegetable oil Salt to taste","Bhindi Masala Bhindi Masala Bhindi Masala 250g okra (bhindi), washed, dried, and cut 1 large onion, sliced 1 tomato, chopped 1 tsp ginger-garlic paste 1/2 tsp cumin seeds 1/2 tsp turmeric powder 1 tsp coriander powder 1/2 tsp red chili powder 1/2 tsp amchur (dry mango powder) 2 tbsp vegetable oil Salt to taste",bhindi masala bhindi masala bhindi masala g okra bhindi washed dried cut large onion sliced tomato chopped tsp gingergarlic paste tsp cumin seeds tsp turmeric powder tsp coriander powder tsp red chili powder tsp amchur dry mango powder tbsp vegetable oil salt taste
Dal Tadka,"['1 cup toor dal (pigeon peas)', '1/2 tsp turmeric powder', 'Salt to taste', 'Tadka (Tempering): 2 tbsp ghee, 1 tsp cumin seeds, 1/2 tsp asafoetida (hing), 1 onion (finely chopped), 1 tomato (finely chopped), 1 tsp ginger-garlic paste, 1/2 tsp red chili powder, 2 dried red chilies']","['Rinse the dal. Pressure cook the dal with 3 cups of water, turmeric, and salt for 3-4 whistles until soft.', 'For tadka: Heat ghee in a small pan.', 'Add cumin seeds and asafoetida. When they splutter, add the dried red chilies.', 'Add the chopped onion and sauté until golden.', 'Add ginger-garlic paste and chopped tomato. Cook until tomatoes are soft.', 'Add the red chili powder, stir for 10 seconds, and turn off the heat.', 'Pour this tadka over the cooked dal.', 'Mix well and simmer for 2 minutes. Garnish with cilantro and serve hot.']",North Indian,"1 cup toor dal (pigeon peas) 1/2 tsp turmeric powder Salt to taste Tadka (Tempering): 2 tbsp ghee, 1 tsp cumin seeds, 1/2 tsp asafoetida (hing), 1 onion (finely chopped), 1 tomato (finely chopped), 1 tsp ginger-garlic paste, 1/2 tsp red chili powder, 2 dried red chilies","Dal Tadka Dal Tadka Dal Tadka 1 cup toor dal (pigeon peas) 1/2 tsp turmeric powder Salt to taste Tadka (Tempering): 2 tbsp ghee, 1 tsp cumin seeds, 1/2 tsp asafoetida (hing), 1 onion (finely chopped), 1 tomato (finely chopped), 1 tsp ginger-garlic paste, 1/2 tsp red chili powder, 2 dried red chilies",dal tadka dal tadka dal tadka cup toor dal pigeon peas tsp turmeric powder salt taste tadka tempering tbsp ghee tsp cumin seeds tsp asafoetida hing onion finely chopped tomato finely chopped tsp gingergarlic paste tsp red chili powder dried red chilies
Poha,"['2 cups thick poha (flattened rice)', '1 onion, finely chopped', '1 potato, finely chopped (optional)', '1/2 cup peanuts', '1 tsp mustard seeds', '1 sprig curry leaves', '2-3 green chilies, chopped', '1/2 tsp turmeric powder', '1 tsp sugar', '1 tbsp lemon juice', '2 tbsp oil', 'Salt to taste', 'Cilantro and sev for garnish']","['Rinse the poha in a colander until it softens. Do not soak. Let it drain.', 'Add salt, sugar, and turmeric to the damp poha and mix gently.', 'Heat oil in a pan. Fry the peanuts until crisp. Remove and keep aside.', 'In the same oil, add mustard seeds. When they pop, add curry leaves and green chilies.', 'Add chopped onion and potato. Sauté until potatoes are tender.', 'Add the poha mixture to the pan. Stir gently to combine everything.', 'Cover and cook on low heat for 2-3 minutes.', 'Turn off the heat. Add lemon juice, fried peanuts, and chopped cilantro. Mix well.', 'Garnish with sev and serve hot.']",Maharashtrian / Indian Breakfast,"2 cups thick poha (flattened rice) 1 onion, finely chopped 1 potato, finely chopped (optional) 1/2 cup peanuts 1 tsp mustard seeds 1 sprig curry leaves 2-3 green chilies, chopped 1/2 tsp turmeric powder 1 tsp sugar 1 tbsp lemon juice 2 tbsp oil Salt to taste Cilantro and sev for garnish","Poha Poha Poha 2 cups thick poha (flattened rice) 1 onion, finely chopped 1 potato, finely chopped (optional) 1/2 cup peanuts 1 tsp mustard seeds 1 sprig curry leaves 2-3 green chilies, chopped 1/2 tsp turmeric powder 1 tsp sugar 1 tbsp lemon juice 2 tbsp oil Salt to taste Cilantro and sev for garnish",poha poha poha cups thick poha flattened rice onion finely chopped potato finely chopped optional cup peanuts tsp mustard seeds sprig curry leaves green chilies chopped tsp turmeric powder tsp sugar tbsp lemon juice tbsp oil salt taste cilantro sev garnish
Upma,"['1 cup semolina (rava or sooji), coarse', '1 onion, finely chopped', '1/2 cup mixed vegetables (carrots, peas), chopped', '1 tsp mustard seeds', '1 tsp urad dal', '1 tsp chana dal', '1-inch ginger, grated', '2 green chilies, chopped', '1 sprig curry leaves', '1/2 tsp turmeric (optional)', '2.5 cups hot water', '2 tbsp oil or ghee', 'Salt to taste', '1 tbsp lemon juice']","['Dry roast the semolina in a pan on low heat until it turns aromatic. Remove and keep aside.', 'Heat oil/ghee in the same pan. Add mustard seeds, urad dal, and chana dal. Sauté until dals are golden.', 'Add ginger, green chilies, and curry leaves. Sauté for 30 seconds.', 'Add chopped onion and sauté until translucent.', 'Add the mixed vegetables and cook for 2-3 minutes.', 'Add the hot water, salt, and turmeric (if using). Bring to a rolling boil.', 'Slowly add the roasted semolina, stirring continuously with your other hand to prevent lumps.', 'Keep stirring until the semolina absorbs all the water and thickens.', 'Cover and cook on low heat for 3-5 minutes.', 'Turn off the heat. Add lemon juice and 1 tsp of ghee (optional). Fluff with a fork and serve hot.']",South Indian / Indian Breakfast,"1 cup semolina (rava or sooji), coarse 1 onion, finely chopped 1/2 cup mixed vegetables (carrots, peas), chopped 1 tsp mustard seeds 1 tsp urad dal 1 tsp chana dal 1-inch ginger, grated 2 green chilies, chopped 1 sprig curry leaves 1/2 tsp turmeric (optional) 2.5 cups hot water 2 tbsp oil or ghee Salt to taste 1 tbsp lemon juice","Upma Upma Upma 1 cup semolina (rava or sooji), coarse 1 onion, finely chopped 1/2 cup mixed vegetables (carrots, peas), chopped 1 tsp mustard seeds 1 tsp urad dal 1 tsp chana dal 1-inch ginger, grated 2 green chilies, chopped 1 sprig curry leaves 1/2 tsp turmeric (optional) 2.5 cups hot water 2 tbsp oil or ghee Salt to taste 1 tbsp lemon juice",upma upma upma cup semolina rava sooji coarse onion finely chopped cup mixed vegetables carrots peas chopped tsp mustard seeds tsp urad dal tsp chana dal inch ginger grated green chilies chopped sprig curry leaves tsp turmeric optional cups hot water tbsp oil ghee salt taste tbsp lemon juice
Uttapam,"['2 cups idli or dosa batter', '1 large onion, finely chopped', '1 large tomato, finely chopped', '2 green chilies, finely chopped', '1/4 cup chopped cilantro', 'Oil or ghee for cooking']","['In a bowl, mix the chopped onion, tomato, green chilies, and cilantro. Add a pinch of salt.', 'Heat a flat non-stick pan (tava) over medium heat. Grease lightly with oil.', 'Pour a large ladle of the batter onto the pan. Do not spread it thin; it should be thick like a pancake.', 'Sprinkle a generous amount of the onion-tomato topping mixture over the uttapam.', 'Gently press the toppings into the batter with a spatula.', 'Drizzle 1 tsp of oil around the edges and a little on top.', 'Cover and cook for 2-3 minutes on low-medium heat, until the bottom is golden.', 'Flip the uttapam carefully. Cook the other side (topping side) for 1-2 minutes.', 'Flip again, cook for 30 seconds, and serve hot with sambar and chutney.']",South Indian,"2 cups idli or dosa batter 1 large onion, finely chopped 1 large tomato, finely chopped 2 green chilies, finely chopped 1/4 cup chopped cilantro Oil or ghee for cooking","Uttapam Uttapam Uttapam 2 cups idli or dosa batter 1 large onion, finely chopped 1 large tomato, finely chopped 2 green chilies, finely chopped 1/4 cup chopped cilantro Oil or ghee for cooking",uttapam uttapam uttapam cups idli dosa batter large onion finely chopped large tomato finely chopped green chilies finely chopped cup chopped cilantro oil ghee cooking
Medu Vada,"['1 cup urad dal (black lentils), whole, skinned', '1-2 green chilies, finely chopped', '1/2 inch ginger, finely chopped', '10-15 curry leaves, chopped', '1/4 cup finely chopped onion (optional)', '1/4 cup finely chopped fresh coconut (optional)', '1/2 tsp whole black peppercorns, crushed', 'Salt to taste', 'Oil for deep frying']","['Wash and soak the urad dal for at least 3-4 hours.', 'Drain the water completely. Grind the dal in a blender or wet grinder, adding water 1 tsp at a time, to make a thick, fluffy, and smooth batter.', 'Transfer the batter to a bowl. Add green chilies, ginger, curry leaves, onion, coconut (if using), crushed pepper, and salt.', 'Beat the batter with your hand for 2-3 minutes to aerate it.', 'Heat oil in a pan for deep frying.', 'Wet your palms. Take a small portion of the batter on your palm, flatten it, and make a hole in the center with your thumb.', 'Gently slide the vada into the hot oil.', 'Fry on medium heat, turning occasionally, until golden brown and crisp on the outside and cooked on the inside.', 'Drain on a paper towel and serve hot with sambar and coconut chutney.']",South Indian,"1 cup urad dal (black lentils), whole, skinned 1-2 green chilies, finely chopped 1/2 inch ginger, finely chopped 10-15 curry leaves, chopped 1/4 cup finely chopped onion (optional) 1/4 cup finely chopped fresh coconut (optional) 1/2 tsp whole black peppercorns, crushed Salt to taste Oil for deep frying","Medu Vada Medu Vada Medu Vada 1 cup urad dal (black lentils), whole, skinned 1-2 green chilies, finely chopped 1/2 inch ginger, finely chopped 10-15 curry leaves, chopped 1/4 cup finely chopped onion (optional) 1/4 cup finely chopped fresh coconut (optional) 1/2 tsp whole black peppercorns, crushed Salt to taste Oil for deep frying",medu vada medu vada medu vada cup urad dal black lentils whole skinned green chilies finely chopped inch ginger finely chopped curry leaves chopped cup finely chopped onion optional cup finely chopped fresh coconut optional tsp whole black peppercorns crushed salt taste oil deep frying
Pav Bhaji,"['Bhaji: 2 large potatoes, 1 cup cauliflower, 1/2 cup green peas, 1/2 cup carrots (all boiled and mashed)', '1 large onion (finely chopped), 1 capsicum (finely chopped), 2 large tomatoes (pureed)', '1 tbsp ginger-garlic paste', '2-3 tbsp pav bhaji masala', '1 tsp red chili powder', '1/2 tsp turmeric powder', '4 tbsp butter', 'Salt to taste', '8 pav (bread buns)']","['Heat 2 tbsp of butter in a large pan. Add chopped onion and sauté until translucent.', 'Add chopped capsicum and ginger-garlic paste. Sauté for 2 minutes.', 'Add tomato puree, chili powder, turmeric, and pav bhaji masala. Cook until oil separates.', 'Add the boiled and mashed vegetables. Mix well.', 'Add 1 cup of water and salt. Use a potato masher to mash the mixture directly in the pan.', 'Simmer for 10-15 minutes, mashing occasionally, until the bhaji is thick and well-combined.', 'Add 1 tbsp of butter and chopped cilantro. Mix well.', 'To serve: Slit the pav buns. Heat 1 tbsp of butter on a tava, add a pinch of pav bhaji masala, and toast the buns until lightly browned.', 'Serve the hot bhaji with the toasted pav, chopped onions, and a lemon wedge.']",Maharashtrian / Street Food,"Bhaji: 2 large potatoes, 1 cup cauliflower, 1/2 cup green peas, 1/2 cup carrots (all boiled and mashed) 1 large onion (finely chopped), 1 capsicum (finely chopped), 2 large tomatoes (pureed) 1 tbsp ginger-garlic paste 2-3 tbsp pav bhaji masala 1 tsp red chili powder 1/2 tsp turmeric powder 4 tbsp butter Salt to taste 8 pav (bread buns)","Pav Bhaji Pav Bhaji Pav Bhaji Bhaji: 2 large potatoes, 1 cup cauliflower, 1/2 cup green peas, 1/2 cup carrots (all boiled and mashed) 1 large onion (finely chopped), 1 capsicum (finely chopped), 2 large tomatoes (pureed) 1 tbsp ginger-garlic paste 2-3 tbsp pav bhaji masala 1 tsp red chili powder 1/2 tsp turmeric powder 4 tbsp butter Salt to taste 8 pav (bread buns)",pav bhaji pav bhaji pav bhaji bhaji large potatoes cup cauliflower cup green peas cup carrots boiled mashed large onion finely chopped capsicum finely chopped large tomatoes pureed tbsp gingergarlic paste tbsp pav bhaji masala tsp red chili powder tsp turmeric powder tbsp butter salt taste pav bread buns
Chole Bhature,"['Chole: (Use Chana Masala recipe)', 'Bhature: 2 cups all-purpose flour, 1/2 cup semolina (sooji), 1/2 cup yogurt, 1/2 tsp baking soda, 1 tsp sugar, Salt to taste, Water to knead, Oil for deep frying']","['Prepare the Chole (Chana Masala) as per the recipe provided earlier.', 'For bhature: In a bowl, mix flour, semolina, yogurt, baking soda, sugar, and salt.', 'Add water slowly to knead a soft, pliable dough. Apply 1 tsp of oil and knead again.', 'Cover the dough and let it rest in a warm place for at least 2 hours.', 'Knead the dough again. Divide into equal-sized balls.', 'Roll each ball into an oval or round shape.', 'Heat oil in a pan on high heat.', 'Carefully slide the rolled bhatura into the hot oil. Press it down gently with a spatula to help it puff up.', 'Fry until golden brown on both sides.', 'Drain on a paper towel and serve immediately with the hot chole.']",North Indian,"Chole: (Use Chana Masala recipe) Bhature: 2 cups all-purpose flour, 1/2 cup semolina (sooji), 1/2 cup yogurt, 1/2 tsp baking soda, 1 tsp sugar, Salt to taste, Water to knead, Oil for deep frying","Chole Bhature Chole Bhature Chole Bhature Chole: (Use Chana Masala recipe) Bhature: 2 cups all-purpose flour, 1/2 cup semolina (sooji), 1/2 cup yogurt, 1/2 tsp baking soda, 1 tsp sugar, Salt to taste, Water to knead, Oil for deep frying",chole bhature chole bhature chole bhature chole use chana masala recipe bhature cups allpurpose flour cup semolina sooji cup yogurt tsp baking soda tsp sugar salt taste water knead oil deep frying
Gajar Ka Halwa,"['1 kg red carrots, grated', '1 liter full-fat milk', '3/4 cup sugar (or to taste)', '1/2 cup ghee (clarified butter)', '1/2 tsp cardamom powder', '1/4 cup mixed nuts (cashews, almonds, pistachios), chopped', '1/4 cup khoya (mawa) (optional, for richness)']","['In a large, heavy-bottomed pan, combine the grated carrots and milk. Bring to a boil.', 'Cook on medium heat, stirring frequently, until all the milk has evaporated (this can take 45-60 minutes).', 'Add the ghee to the pan. Sauté the carrot mixture for 10-15 minutes, until the color darkens and the ghee starts to separate.', 'Add the sugar and mix well. The sugar will melt and the mixture will become moist again.', 'Continue to cook, stirring, until the moisture from the sugar evaporates.', 'Add the cardamom powder, chopped nuts, and crumbled khoya (if using).', 'Stir well and cook for another 5 minutes.', 'Serve hot.']",North Indian Dessert,"1 kg red carrots, grated 1 liter full-fat milk 3/4 cup sugar (or to taste) 1/2 cup ghee (clarified butter) 1/2 tsp cardamom powder 1/4 cup mixed nuts (cashews, almonds, pistachios), chopped 1/4 cup khoya (mawa) (optional, for richness)","Gajar Ka Halwa Gajar Ka Halwa Gajar Ka Halwa 1 kg red carrots, grated 1 liter full-fat milk 3/4 cup sugar (or to taste) 1/2 cup ghee (clarified butter) 1/2 tsp cardamom powder 1/4 cup mixed nuts (cashews, almonds, pistachios), chopped 1/4 cup khoya (mawa) (optional, for richness)",gajar ka halwa gajar ka halwa gajar ka halwa kg red carrots grated liter fullfat milk cup sugar taste cup ghee clarified butter tsp cardamom powder cup mixed nuts cashews almonds pistachios chopped cup khoya mawa optional richness
Rasgulla,"['1 liter full-fat milk', '2 tbsp lemon juice (mixed with 2 tbsp water)', '1.5 cups sugar', '4 cups water', '1 tsp rose water (optional)', '1 tsp cornflour or all-purpose flour (optional, for binding)']","['Bring the milk to a rolling boil. Turn off the heat.', 'Add the lemon juice mixture slowly, stirring gently, until the milk curdles and separates from the greenish whey.', ""Strain the curdled milk through a muslin cloth. Rinse the 'chena' (curdled milk solids) under cold water to remove the lemon taste."", 'Squeeze the muslin cloth to drain all the whey. Hang it for 30 minutes.', 'Transfer the chena to a plate. Knead it with the heel of your palm for 8-10 minutes until it becomes smooth and releases some fat. Mix in cornflour if using.', 'Make small, smooth, crack-free balls from the chena.', 'In a large, wide pressure cooker or pot, combine sugar and 4 cups of water. Bring to a boil, stirring to dissolve the sugar.', 'Carefully add the chena balls to the boiling syrup.', 'If using a pressure cooker, close the lid and cook for 1 whistle, then reduce heat and simmer for 5-7 minutes. If using an open pot, cover and boil for 15-20 minutes.', 'Turn off the heat. Let the pressure release naturally. The rasgullas will have doubled in size.', 'Add rose water. Chill the rasgullas in the syrup for 4-6 hours before serving.']",Bengali / Indian Dessert,"1 liter full-fat milk 2 tbsp lemon juice (mixed with 2 tbsp water) 1.5 cups sugar 4 cups water 1 tsp rose water (optional) 1 tsp cornflour or all-purpose flour (optional, for binding)","Rasgulla Rasgulla Rasgulla 1 liter full-fat milk 2 tbsp lemon juice (mixed with 2 tbsp water) 1.5 cups sugar 4 cups water 1 tsp rose water (optional) 1 tsp cornflour or all-purpose flour (optional, for binding)",rasgulla rasgulla rasgulla liter fullfat milk tbsp lemon juice mixed tbsp water cups sugar cups water tsp rose water optional tsp cornflour allpurpose flour optional binding
Dhokla,"['Batter: 1 cup gram flour (besan), 1/2 cup semolina (sooji), 1/2 cup yogurt, 1/2 inch ginger (grated), 1 green chili (paste), 1/2 tsp turmeric, Salt, 1 tsp Eno fruit salt (or baking soda)', 'Tempering: 2 tbsp oil, 1 tsp mustard seeds, 1 sprig curry leaves, 2-3 green chilies (slit), 1 tbsp sugar, 2 tbsp water, 1 tbsp lemon juice']","['In a bowl, mix besan, sooji, yogurt, ginger-chili paste, turmeric, and salt. Add water to make a thick, idli-like batter. Let it rest for 20 minutes.', 'Grease a steaming pan. Boil water in a steamer.', ""Just before steaming, add the Eno fruit salt to the batter and stir quickly until it's light and frothy. Pour immediately into the greased pan."", 'Steam for 15-20 minutes, or until a toothpick inserted comes out clean.', 'Let it cool for 10 minutes, then cut into squares.', 'For tempering: Heat oil. Add mustard seeds, curry leaves, and green chilies.', 'Add water, sugar, and lemon juice. Bring to a boil and turn off the heat.', 'Pour this tempering evenly over the dhokla squares. Garnish with cilantro and grated coconut.']",Gujarati / Indian Snack,"Batter: 1 cup gram flour (besan), 1/2 cup semolina (sooji), 1/2 cup yogurt, 1/2 inch ginger (grated), 1 green chili (paste), 1/2 tsp turmeric, Salt, 1 tsp Eno fruit salt (or baking soda) Tempering: 2 tbsp oil, 1 tsp mustard seeds, 1 sprig curry leaves, 2-3 green chilies (slit), 1 tbsp sugar, 2 tbsp water, 1 tbsp lemon juice","Dhokla Dhokla Dhokla Batter: 1 cup gram flour (besan), 1/2 cup semolina (sooji), 1/2 cup yogurt, 1/2 inch ginger (grated), 1 green chili (paste), 1/2 tsp turmeric, Salt, 1 tsp Eno fruit salt (or baking soda) Tempering: 2 tbsp oil, 1 tsp mustard seeds, 1 sprig curry leaves, 2-3 green chilies (slit), 1 tbsp sugar, 2 tbsp water, 1 tbsp lemon juice",dhokla dhokla dhokla batter cup gram flour besan cup semolina sooji cup yogurt inch ginger grated green chili paste tsp turmeric salt tsp eno fruit salt baking soda tempering tbsp oil tsp mustard seeds sprig curry leaves green chilies slit tbsp sugar tbsp water tbsp lemon juice
Kadai Paneer,"['250g paneer, cubed', '1 large onion, cubed', '1 large capsicum (bell pepper), cubed', '2 tomatoes, pureed', '1 onion, finely chopped', '1 tbsp ginger-garlic paste', '1 tbsp whole coriander seeds', '1 tsp cumin seeds', '2-3 dried red chilies', '1/2 tsp turmeric powder', '1/2 tsp garam masala', '2 tbsp oil', 'Salt to taste']","['Dry roast the coriander seeds, cumin seeds, and dried red chilies. Coarsely grind them to make the kadai masala.', 'Heat 1 tbsp oil in a pan (kadai). Sauté the cubed onion and capsicum on high heat for 2-3 minutes until lightly charred. Remove and set aside.', 'In the same pan, heat 1 tbsp oil. Add the finely chopped onion and sauté until golden.', 'Add ginger-garlic paste and cook for 1 minute.', 'Add the tomato puree, turmeric, and salt. Cook until oil separates.', 'Add the freshly ground kadai masala and garam masala. Cook for 1-2 minutes.', 'Add the paneer cubes, sautéed onion, and capsicum. Stir gently to coat.', 'Add 1/4 cup of water, cover, and simmer for 5 minutes.', 'Garnish with cilantro and serve hot.']",North Indian,"250g paneer, cubed 1 large onion, cubed 1 large capsicum (bell pepper), cubed 2 tomatoes, pureed 1 onion, finely chopped 1 tbsp ginger-garlic paste 1 tbsp whole coriander seeds 1 tsp cumin seeds 2-3 dried red chilies 1/2 tsp turmeric powder 1/2 tsp garam masala 2 tbsp oil Salt to taste","Kadai Paneer Kadai Paneer Kadai Paneer 250g paneer, cubed 1 large onion, cubed 1 large capsicum (bell pepper), cubed 2 tomatoes, pureed 1 onion, finely chopped 1 tbsp ginger-garlic paste 1 tbsp whole coriander seeds 1 tsp cumin seeds 2-3 dried red chilies 1/2 tsp turmeric powder 1/2 tsp garam masala 2 tbsp oil Salt to taste",kadai paneer kadai paneer kadai paneer g paneer cubed large onion cubed large capsicum bell pepper cubed tomatoes pureed onion finely chopped tbsp gingergarlic paste tbsp whole coriander seeds tsp cumin seeds dried red chilies tsp turmeric powder tsp garam masala tbsp oil salt taste
Chicken Vindaloo,"['500g chicken, cut into pieces', '2 large potatoes, peeled and quartered (optional, but traditional)', '1/4 cup white vinegar', 'Vindaloo Paste: 6-8 dried Kashmiri red chilies (less spicy), 4-5 cloves garlic, 1-inch ginger, 1 tsp cumin seeds, 1/2 tsp black peppercorns, 1/2-inch cinnamon, 3 cloves', '1 large onion, finely chopped', '1 tomato, pureed', '1/2 tsp turmeric powder', '1 tsp sugar (to balance)', '2 tbsp vegetable oil', 'Salt to taste']","[""Grind all ingredients for the 'Vindaloo Paste' with the vinegar to a smooth paste."", 'Marinate the chicken pieces in this paste for at least 1 hour.', 'Heat oil in a pan. Add the chopped onion and sauté until golden brown.', 'Add the tomato puree and turmeric. Cook for 3-4 minutes.', 'Add the marinated chicken and the quartered potatoes.', 'Sauté on high heat for 5-7 minutes, until the chicken is seared.', 'Add 1 cup of water, salt, and sugar. Bring to a boil.', 'Cover, reduce heat, and simmer for 20-25 minutes, or until the chicken and potatoes are cooked through.', 'The gravy should be thick. Serve hot.']",Goan / Indian,"500g chicken, cut into pieces 2 large potatoes, peeled and quartered (optional, but traditional) 1/4 cup white vinegar Vindaloo Paste: 6-8 dried Kashmiri red chilies (less spicy), 4-5 cloves garlic, 1-inch ginger, 1 tsp cumin seeds, 1/2 tsp black peppercorns, 1/2-inch cinnamon, 3 cloves 1 large onion, finely chopped 1 tomato, pureed 1/2 tsp turmeric powder 1 tsp sugar (to balance) 2 tbsp vegetable oil Salt to taste","Chicken Vindaloo Chicken Vindaloo Chicken Vindaloo 500g chicken, cut into pieces 2 large potatoes, peeled and quartered (optional, but traditional) 1/4 cup white vinegar Vindaloo Paste: 6-8 dried Kashmiri red chilies (less spicy), 4-5 cloves garlic, 1-inch ginger, 1 tsp cumin seeds, 1/2 tsp black peppercorns, 1/2-inch cinnamon, 3 cloves 1 large onion, finely chopped 1 tomato, pureed 1/2 tsp turmeric powder 1 tsp sugar (to balance) 2 tbsp vegetable oil Salt to taste",chicken vindaloo chicken vindaloo chicken vindaloo g chicken cut pieces large potatoes peeled quartered optional traditional cup white vinegar vindaloo paste dried kashmiri red chilies less spicy cloves garlic inch ginger tsp cumin seeds tsp black peppercorns inch cinnamon cloves large onion finely chopped tomato pureed tsp turmeric powder tsp sugar balance tbsp vegetable oil salt taste
